nom_ville,latitude,longitude,date,periode_journee,condition_meteo,temperature,id_ville,id_meteo
Huisnes-sur-Mer,48.6359541,-1.51146,2025-10-01,Matin,couvert,15,1,1
Huisnes-sur-Mer,48.6359541,-1.51146,2025-10-01,Après-midi,couvert,18,1,2
Huisnes-sur-Mer,48.6359541,-1.51146,2025-10-02,Matin,couvert,16,1,3
Huisnes-sur-Mer,48.6359541,-1.51146,2025-10-02,Après-midi,couvert,21,1,4
Huisnes-sur-Mer,48.6359541,-1.51146,2025-10-03,Matin,légère pluie,17,1,5
Huisnes-sur-Mer,48.6359541,-1.51146,2025-10-03,Après-midi,légère pluie,18,1,6
Huisnes-sur-Mer,48.6359541,-1.51146,2025-10-04,Matin,légère pluie,18,1,7
Huisnes-sur-Mer,48.6359541,-1.51146,2025-10-04,Après-midi,légère pluie,15,1,8
Huisnes-sur-Mer,48.6359541,-1.51146,2025-10-05,Matin,couvert,14,1,9
Huisnes-sur-Mer,48.6359541,-1.51146,2025-10-05,Après-midi,couvert,16,1,10
St-Malo,48.649518,-2.0260409,2025-10-01,Matin,ciel dégagé,13,2,11
St-Malo,48.649518,-2.0260409,2025-10-01,Après-midi,partiellement nuageux,17,2,12
St-Malo,48.649518,-2.0260409,2025-10-02,Matin,couvert,16,2,13
St-Malo,48.649518,-2.0260409,2025-10-02,Après-midi,couvert,20,2,14
St-Malo,48.649518,-2.0260409,2025-10-03,Matin,légère pluie,17,2,15
St-Malo,48.649518,-2.0260409,2025-10-03,Après-midi,légère pluie,18,2,16
St-Malo,48.649518,-2.0260409,2025-10-04,Matin,légère pluie,19,2,17
St-Malo,48.649518,-2.0260409,2025-10-04,Après-midi,légère pluie,15,2,18
St-Malo,48.649518,-2.0260409,2025-10-05,Matin,couvert,15,2,19
St-Malo,48.649518,-2.0260409,2025-10-05,Après-midi,couvert,16,2,20
Bayeux,49.2764624,-0.7024738,2025-10-01,Matin,couvert,12,3,21
Bayeux,49.2764624,-0.7024738,2025-10-01,Après-midi,couvert,16,3,22
Bayeux,49.2764624,-0.7024738,2025-10-02,Matin,couvert,17,3,23
Bayeux,49.2764624,-0.7024738,2025-10-02,Après-midi,couvert,21,3,24
Bayeux,49.2764624,-0.7024738,2025-10-03,Matin,couvert,16,3,25
Bayeux,49.2764624,-0.7024738,2025-10-03,Après-midi,légère pluie,16,3,26
Bayeux,49.2764624,-0.7024738,2025-10-04,Matin,couvert,18,3,27
Bayeux,49.2764624,-0.7024738,2025-10-04,Après-midi,légère pluie,13,3,28
Bayeux,49.2764624,-0.7024738,2025-10-05,Matin,couvert,14,3,29
Bayeux,49.2764624,-0.7024738,2025-10-05,Après-midi,couvert,17,3,30
Le Havre,49.4938975,0.1079732,2025-10-01,Matin,ciel dégagé,13,4,31
Le Havre,49.4938975,0.1079732,2025-10-01,Après-midi,nuageux,15,4,32
Le Havre,49.4938975,0.1079732,2025-10-02,Matin,couvert,15,4,33
Le Havre,49.4938975,0.1079732,2025-10-02,Après-midi,couvert,20,4,34
Le Havre,49.4938975,0.1079732,2025-10-03,Matin,légère pluie,16,4,35
Le Havre,49.4938975,0.1079732,2025-10-03,Après-midi,légère pluie,17,4,36
Le Havre,49.4938975,0.1079732,2025-10-04,Matin,légère pluie,18,4,37
Le Havre,49.4938975,0.1079732,2025-10-04,Après-midi,pluie modérée,15,4,38
Le Havre,49.4938975,0.1079732,2025-10-05,Matin,couvert,15,4,39
Le Havre,49.4938975,0.1079732,2025-10-05,Après-midi,couvert,15,4,40
Rouen,49.4404591,1.0939658,2025-10-01,Matin,ciel dégagé,14,5,41
Rouen,49.4404591,1.0939658,2025-10-01,Après-midi,nuageux,17,5,42
Rouen,49.4404591,1.0939658,2025-10-02,Matin,couvert,16,5,43
Rouen,49.4404591,1.0939658,2025-10-02,Après-midi,couvert,20,5,44
Rouen,49.4404591,1.0939658,2025-10-03,Matin,légère pluie,14,5,45
Rouen,49.4404591,1.0939658,2025-10-03,Après-midi,légère pluie,17,5,46
Rouen,49.4404591,1.0939658,2025-10-04,Matin,couvert,19,5,47
Rouen,49.4404591,1.0939658,2025-10-04,Après-midi,légère pluie,14,5,48
Rouen,49.4404591,1.0939658,2025-10-05,Matin,couvert,13,5,49
Rouen,49.4404591,1.0939658,2025-10-05,Après-midi,couvert,17,5,50
Paris,48.8534951,2.3483915,2025-10-01,Matin,ciel dégagé,12,6,51
Paris,48.8534951,2.3483915,2025-10-01,Après-midi,nuageux,17,6,52
Paris,48.8534951,2.3483915,2025-10-02,Matin,couvert,16,6,53
Paris,48.8534951,2.3483915,2025-10-02,Après-midi,couvert,19,6,54
Paris,48.8534951,2.3483915,2025-10-03,Matin,couvert,15,6,55
Paris,48.8534951,2.3483915,2025-10-03,Après-midi,légère pluie,15,6,56
Paris,48.8534951,2.3483915,2025-10-04,Matin,couvert,18,6,57
